Expression((!a) * (b) * (c) * (!d) * (!e) * (!f))
('Chromosome(011010)', '83.3333333333', 'Generation: 1')
('Chromosome(001010)', '66.6666666667', 'Generation: 1')
('Chromosome(001010)', '66.6666666667', 'Generation: 1')
('Chromosome(111001)', '66.6666666667', 'Generation: 1')
('Chromosome(111101)', '50.0', 'Generation: 1')
('Chromosome(111011)', '50.0', 'Generation: 1')
('Chromosome(100001)', '33.3333333333', 'Generation: 1')
('Chromosome(101101)', '33.3333333333', 'Generation: 1')
('Chromosome(111111)', '33.3333333333', 'Generation: 1')
('Chromosome(100111)', '0.0', 'Generation: 1')
Expression((!a) * (b) * (c) * (!d) * (!e) * (!f))
('Chromosome(011010)', '83.3333333333', 'Generation: 2')
('Chromosome(001010)', '66.6666666667', 'Generation: 2')
('Chromosome(001010)', '66.6666666667', 'Generation: 2')
('Chromosome(111001)', '66.6666666667', 'Generation: 2')
('Chromosome(001001)', '66.6666666667', 'Generation: 2')
('Chromosome(111101)', '50.0', 'Generation: 2')
('Chromosome(111011)', '50.0', 'Generation: 2')
('Chromosome(001011)', '50.0', 'Generation: 2')
('Chromosome(100001)', '33.3333333333', 'Generation: 2')
('Chromosome(101101)', '33.3333333333', 'Generation: 2')
('Chromosome(111111)', '33.3333333333', 'Generation: 2')
('Chromosome(100111)', '0.0', 'Generation: 2')
Expression((!a) * (b) * (c) * (!d) * (!e) * (!f))
('Chromosome(011000)', '100.0', 'Generation: 3')
('Chromosome(011010)', '83.3333333333', 'Generation: 3')
('Chromosome(001010)', '66.6666666667', 'Generation: 3')
('Chromosome(001010)', '66.6666666667', 'Generation: 3')
('Chromosome(111001)', '66.6666666667', 'Generation: 3')
('Chromosome(001001)', '66.6666666667', 'Generation: 3')
('Chromosome(111010)', '66.6666666667', 'Generation: 3')
('Chromosome(111101)', '50.0', 'Generation: 3')
('Chromosome(111011)', '50.0', 'Generation: 3')
('Chromosome(001011)', '50.0', 'Generation: 3')
('Chromosome(100001)', '33.3333333333', 'Generation: 3')
('Chromosome(101101)', '33.3333333333', 'Generation: 3')
('Chromosome(111111)', '33.3333333333', 'Generation: 3')
('Chromosome(100111)', '0.0', 'Generation: 3')
Expression((!a) * (b) * (c) * (!d) * (!e) * (!f))
('Chromosome(011000)', '100.0', 'Generation: 3')
('Chromosome(011010)', '83.3333333333', 'Generation: 3')
('Chromosome(001010)', '66.6666666667', 'Generation: 3')
('Chromosome(001010)', '66.6666666667', 'Generation: 3')
('Chromosome(111001)', '66.6666666667', 'Generation: 3')
('Chromosome(001001)', '66.6666666667', 'Generation: 3')
('Chromosome(111010)', '66.6666666667', 'Generation: 3')
('Chromosome(111101)', '50.0', 'Generation: 3')
('Chromosome(111011)', '50.0', 'Generation: 3')
('Chromosome(001011)', '50.0', 'Generation: 3')
('Chromosome(100001)', '33.3333333333', 'Generation: 3')
('Chromosome(101101)', '33.3333333333', 'Generation: 3')
('Chromosome(111111)', '33.3333333333', 'Generation: 3')
('Chromosome(100111)', '0.0', 'Generation: 3')
